book_id,anchor_id,narrator_id
bukhari,240,28
bukhari,240,30424
bukhari,240,20427
bukhari,240,20406
bukhari,240,11382
bukhari,241,143
bukhari,241,20379
bukhari,242,10949
bukhari,243,284
bukhari,244,10756
bukhari,244,3550
bukhari,246,116
bukhari,246,28893
bukhari,246,19069
bukhari,247,143
bukhari,247,9
bukhari,247,385
bukhari,248,16
bukhari,249,143
bukhari,249,10913
bukhari,250,13687
bukhari,250,30013
bukhari,251,16
bukhari,251,10566
bukhari,251,28893
bukhari,251,20472
bukhari,252,16
bukhari,252,295
bukhari,253,34
bukhari,253,28893
bukhari,254,383
bukhari,254,871
bukhari,255,143
bukhari,255,6823
bukhari,255,143
bukhari,255,34
bukhari,256,11654
bukhari,257,10913
bukhari,258,143
bukhari,259,29655
bukhari,260,10913
bukhari,261,16
bukhari,263,8
bukhari,264,16
bukhari,264,19
bukhari,265,143
bukhari,265,10913
bukhari,266,579
bukhari,266,10913
bukhari,266,61
bukhari,267,143
bukhari,267,30013
bukhari,267,39092
bukhari,268,143
bukhari,268,32
bukhari,268,19
bukhari,270,39092
bukhari,272,144
bukhari,273,144
bukhari,274,2081
bukhari,274,135
bukhari,275,16
bukhari,275,4
bukhari,277,276
bukhari,277,409
bukhari,277,30
bukhari,277,19577
bukhari,278,158
bukhari,278,3223
bukhari,280,16
bukhari,281,10913
bukhari,282,16
bukhari,282,144
bukhari,282,244
bukhari,282,56
bukhari,283,10949
bukhari,284,14230
bukhari,284,218
bukhari,288,295
bukhari,288,18675
bukhari,288,208
bukhari,289,579
bukhari,290,16
bukhari,290,16
bukhari,290,16
bukhari,291,32
bukhari,292,28856
bukhari,293,144
bukhari,293,39
bukhari,293,28893
bukhari,294,10949
bukhari,294,8
bukhari,295,16
bukhari,295,144
bukhari,296,409
bukhari,296,144
bukhari,297,25377
bukhari,298,11314
bukhari,302,8087
bukhari,302,5
bukhari,302,28666
bukhari,302,8
bukhari,303,16
bukhari,304,4500
bukhari,304,143
bukhari,304,9175
bukhari,305,992
bukhari,305,8
bukhari,305,19574
bukhari,306,16
bukhari,306,144
bukhari,307,16
bukhari,307,77
bukhari,307,70
bukhari,308,28
bukhari,308,8
bukhari,309,6124
bukhari,310,218
bukhari,312,409
bukhari,312,30013
bukhari,313,16
bukhari,313,10756
bukhari,313,28893
bukhari,313,71
bukhari,313,71
bukhari,316,579
bukhari,317,401
bukhari,318,18675
bukhari,318,19
bukhari,319,295
bukhari,320,16
bukhari,321,579
bukhari,322,9
bukhari,323,32
bukhari,325,38026
bukhari,325,144
bukhari,326,30367
bukhari,327,409
bukhari,327,30013
bukhari,328,16
bukhari,328,16
bukhari,328,11455
bukhari,329,6662
bukhari,329,16
bukhari,330,6662
bukhari,330,16
bukhari,331,3573
bukhari,332,38026
bukhari,332,392
bukhari,333,30
bukhari,333,295
bukhari,333,16
bukhari,334,16
bukhari,334,8
bukhari,335,143
bukhari,335,11
bukhari,335,34
bukhari,336,16
bukhari,336,144
bukhari,336,45
bukhari,337,295
bukhari,337,21
bukhari,337,1234
bukhari,338,791
bukhari,338,25
bukhari,339,791
bukhari,339,29483
bukhari,339,13886
bukhari,340,383
bukhari,341,143
bukhari,343,143
bukhari,344,295
bukhari,345,680
bukhari,345,28872
bukhari,345,16
bukhari,346,3
bukhari,346,10775
bukhari,346,16
bukhari,346,28872
bukhari,346,28872
bukhari,347,143
bukhari,347,16
bukhari,347,28872
bukhari,347,16
bukhari,347,28872
bukhari,348,123
bukhari,349,295
bukhari,349,19
bukhari,350,16
bukhari,350,8714
bukhari,350,190
bukhari,351,579
bukhari,351,218
bukhari,351,28285
bukhari,351,143
bukhari,352,3573
bukhari,352,563
bukhari,352,833
bukhari,352,143
bukhari,353,8
bukhari,353,143
bukhari,354,18675
bukhari,354,144
bukhari,354,246
bukhari,355,143
bukhari,355,246
bukhari,356,401
bukhari,357,11418
bukhari,357,42
bukhari,358,16
bukhari,358,11
bukhari,359,465
bukhari,360,11314
bukhari,361,295
bukhari,361,20169
bukhari,361,11
bukhari,363,3710
bukhari,364,5294
bukhari,364,28
bukhari,364,34
bukhari,365,383
bukhari,365,10756
bukhari,366,563
bukhari,366,30013
bukhari,366,19069
bukhari,367,30367
bukhari,367,18675
bukhari,368,4810
bukhari,369,9916
bukhari,369,8288
bukhari,369,8288
bukhari,369,13
bukhari,370,992
bukhari,370,30013
bukhari,370,143
bukhari,371,9916
bukhari,371,992
bukhari,373,3573
bukhari,373,409
bukhari,373,11065
bukhari,374,28875
bukhari,374,992
bukhari,375,16
bukhari,375,189
bukhari,376,143
bukhari,376,246
bukhari,376,11383
bukhari,377,10949
bukhari,377,28893
bukhari,377,10949
bukhari,378,208
bukhari,378,218
bukhari,378,19
bukhari,379,16
bukhari,380,11151
bukhari,380,19
bukhari,381,16
bukhari,383,295
bukhari,384,16
bukhari,385,680
bukhari,385,8011
bukhari,385,19
bukhari,386,13687
bukhari,387,3223
bukhari,388,158
bukhari,388,166
bukhari,389,925
bukhari,390,295
bukhari,390,4012
bukhari,390,16
bukhari,390,11407
bukhari,391,28
bukhari,391,10722
bukhari,391,4949
bukhari,391,19
bukhari,392,19
bukhari,393,30013
bukhari,394,10949
bukhari,394,3958
bukhari,394,33
bukhari,394,29723
bukhari,395,28
bukhari,396,28
bukhari,398,158
bukhari,399,16
bukhari,399,400
bukhari,400,11314
bukhari,400,208
bukhari,401,16
bukhari,402,28
bukhari,402.2,30013
bukhari,402.2,295
bukhari,403,16
bukhari,403,42
bukhari,403,16
bukhari,403,16
bukhari,405,8087
bukhari,406,16
bukhari,406,16
bukhari,407,16
bukhari,407,144
bukhari,408,579
bukhari,408,409
bukhari,408,8288
bukhari,409,579
bukhari,409,409
bukhari,409,8288
bukhari,410,295
bukhari,410,8288
bukhari,411,295
bukhari,411,8288
bukhari,412,8273
bukhari,413,19
bukhari,414,8288
bukhari,415,19
bukhari,416,158
bukhari,417,42
bukhari,418,16
bukhari,419,295
bukhari,419,20169
bukhari,419,3265
bukhari,419,19
bukhari,420,16
bukhari,420,16
bukhari,421,28024
bukhari,421,992
bukhari,422,16
bukhari,422,11151
bukhari,423,339
bukhari,424,16
bukhari,424,409
bukhari,424,1810
bukhari,424,251
bukhari,425,11
bukhari,425,5278
bukhari,426,383
bukhari,426,485
bukhari,427,143
bukhari,429,383
bukhari,430,10641
bukhari,430,383
bukhari,431,16
bukhari,431,15
bukhari,431,3958
bukhari,431,16
bukhari,433,8088
bukhari,433,16
bukhari,433,16
bukhari,434,144
bukhari,435,18675
bukhari,436,18675
bukhari,437,16
bukhari,437,11
bukhari,438,143
bukhari,438,34
bukhari,439,401
bukhari,441,30367
bukhari,441,992
bukhari,441,339
bukhari,442,2081
bukhari,443,276
bukhari,443,7029
bukhari,443,34
bukhari,444,16
bukhari,444,4702
bukhari,444,4667
bukhari,445,16
bukhari,446,10949
bukhari,446,31899
bukhari,446,8714
bukhari,447,992
bukhari,449,11560
bukhari,450,295
bukhari,451,30367
bukhari,451,34
bukhari,452,579
bukhari,452,407
bukhari,453,22261
bukhari,453,2042
bukhari,454,992
bukhari,454,409
bukhari,454,190
bukhari,455,992
bukhari,455,409
bukhari,455,190
bukhari,456,10949
bukhari,456,19163
bukhari,456,20416
bukhari,456,19163
bukhari,456,19505
bukhari,456,19163
bukhari,457,16
bukhari,457,4
bukhari,457,16
bukhari,458,383
bukhari,458,10756
bukhari,460,3573
bukhari,461,158
bukhari,461,143
bukhari,462,16
bukhari,462,4500
bukhari,463,16
bukhari,464,16
bukhari,464,208
bukhari,464,244
bukhari,465,143
bukhari,465,32
bukhari,466,143
bukhari,466,401
bukhari,466,3104
bukhari,467,16
bukhari,467,467
bukhari,467,547
bukhari,469,4500
bukhari,470,10949
bukhari,470,295
bukhari,470,218
bukhari,470,277
bukhari,471,3236
bukhari,471,16
bukhari,472,680
bukhari,473,11230
bukhari,473,18675
bukhari,474,16
bukhari,474,11151
bukhari,475,16
bukhari,475,281
bukhari,475,11013
bukhari,475,11002
bukhari,476,295
bukhari,476,190
bukhari,478,30128
bukhari,479,30128
bukhari,480,20430
bukhari,480,563
bukhari,480,16
bukhari,481,276
bukhari,483,143
bukhari,483,9426
bukhari,483,579
bukhari,483,19069
bukhari,484,409
bukhari,484,19
bukhari,484,579
bukhari,493,16
bukhari,493,18675
bukhari,493,16
bukhari,494,16
bukhari,495,11383
bukhari,496,28
bukhari,496,992
bukhari,497,218
bukhari,499,11383
bukhari,500,30163
bukhari,500,9271
bukhari,500,19
bukhari,501,383
bukhari,502,218
bukhari,503,28
bukhari,504,579
bukhari,505,16
